State,ev_count,avg_range,avg_msrp,cluster
AK,1,19.0,0.0,0
AL,1,42.0,0.0,0
AR,4,121.5,0.0,0
AZ,6,58.166666666666664,0.0,0
CA,76,91.3157894736842,1500.0,0
CO,9,101.55555555555556,0.0,0
CT,6,28.333333333333332,0.0,0
DC,6,132.83333333333334,7350.0,0
DE,1,0.0,0.0,0
FL,6,125.5,0.0,0
GA,7,66.42857142857143,0.0,0
HI,4,133.0,0.0,0
ID,2,0.0,0.0,0
IL,6,157.33333333333334,6665.833333333333,0
KS,3,4.666666666666667,0.0,0
KY,1,33.0,0.0,0
LA,3,24.0,0.0,0
MA,3,17.666666666666668,0.0,0
MD,26,69.84615384615384,3923.076923076923,0
ME,1,33.0,0.0,0
MN,1,220.0,0.0,0
MO,3,209.66666666666666,0.0,0
MS,1,0.0,0.0,0
NC,7,18.0,0.0,0
ND,1,22.0,0.0,0
NE,5,121.8,0.0,0
NH,2,173.0,0.0,0
NJ,3,26.333333333333332,0.0,0
NM,1,238.0,0.0,0
NV,8,75.75,0.0,0
NY,4,81.5,0.0,0
OH,2,0.0,0.0,0
OK,1,72.0,0.0,0
OR,5,93.8,18140.0,0
PA,3,117.0,0.0,0
RI,1,84.0,0.0,0
SC,5,5.0,0.0,0
SD,1,0.0,0.0,0
TN,3,102.66666666666667,0.0,0
TX,14,89.78571428571429,0.0,0
UT,4,61.75,0.0,0
VA,36,92.36111111111111,0.0,0
WA,112348,87.82207960978388,1794.5267383487023,1
WI,1,0.0,0.0,0
WY,2,161.0,0.0,0
